id,compartment,metabolite_dcid
m00135s,dcs:CellularCompartmentExtracellular,bio/MNXM12997
m00136c,dcs:CellularCompartmentCytosol,bio/MNXM15750
m00137c,dcs:CellularCompartmentCytosol,bio/MNXM15750
m00138g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM5381
m00138r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5381
m00139g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6531
m00139r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6531
m00140g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6013
m00140r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6013
m00141l,dcs:CellularCompartmentLysosome,bio/MNXM6014
m00142g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6534
m00143g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6536
m00144g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM9447
m00145g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM7932
m00146g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM9451
m00147g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM9450
m00148g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6538
m00149g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6537
m00150g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM5382
m00151g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6539
m00151r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6539
m00152g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM9454
m00153g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6015
m00153r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM6015
m00154r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM147644
m00155c,dcs:CellularCompartmentCytosol,bio/MNXM2239
m00156c,dcs:CellularCompartmentCytosol,bio/MNXM31535
m00157c,dcs:CellularCompartmentCytosol,bio/CHEMBL1162484
m00157m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1162484
m00157s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1162484
m00158c,dcs:CellularCompartmentCytosol,bio/MNXM91793
m00159m,dcs:CellularCompartmentMitochondria,bio/MNXM1058
m00160c,dcs:CellularCompartmentCytosol,bio/MNXM7127
m00161c,dcs:CellularCompartmentCytosol,bio/MNXM10019
m00162c,dcs:CellularCompartmentCytosol,bio/MNXM2576
m00163c,dcs:CellularCompartmentCytosol,bio/MNXM483
m00163m,dcs:CellularCompartmentMitochondria,bio/MNXM483
m00164c,dcs:CellularCompartmentCytosol,bio/CHEMBL235881
m00165c,dcs:CellularCompartmentCytosol,bio/MNXM567
m00166m,dcs:CellularCompartmentMitochondria,bio/MNXM608
m00167c,dcs:CellularCompartmentCytosol,bio/MNXM333
m00167p,dcs:CellularCompartmentPeroxisome,bio/MNXM333
m00168c,dcs:CellularCompartmentCytosol,bio/MNXM1253
m00168m,dcs:CellularCompartmentMitochondria,bio/MNXM1253
m00169c,dcs:CellularCompartmentCytosol,bio/CHEMBL1230782
m00170m,dcs:CellularCompartmentMitochondria,bio/MNXM164005
m00170p,dcs:CellularCompartmentPeroxisome,bio/MNXM164005
m00171m,dcs:CellularCompartmentMitochondria,bio/MNXM701
m00172m,dcs:CellularCompartmentMitochondria,bio/(S)-3-hydroxy-7-hexadecenoyl-CoA
m00172p,dcs:CellularCompartmentPeroxisome,bio/(S)-3-hydroxy-7-hexadecenoyl-CoA
m00173m,dcs:CellularCompartmentMitochondria,bio/MNXM446
m00173p,dcs:CellularCompartmentPeroxisome,bio/MNXM446
m00174m,dcs:CellularCompartmentMitochondria,bio/MNXM733
m00174p,dcs:CellularCompartmentPeroxisome,bio/MNXM733
m00175m,dcs:CellularCompartmentMitochondria,bio/MNXM825
m00175p,dcs:CellularCompartmentPeroxisome,bio/MNXM825
m00176m,dcs:CellularCompartmentMitochondria,bio/(S)-3-hydroxyoleyleoyl-CoA
m00176p,dcs:CellularCompartmentPeroxisome,bio/(S)-3-hydroxyoleyleoyl-CoA
m00177m,dcs:CellularCompartmentMitochondria,bio/MNXM31749
m00177p,dcs:CellularCompartmentPeroxisome,bio/MNXM31749
m00178m,dcs:CellularCompartmentMitochondria,bio/MNXM767
m00178p,dcs:CellularCompartmentPeroxisome,bio/MNXM767
m00179c,dcs:CellularCompartmentCytosol,bio/MNXM90148
m00179m,dcs:CellularCompartmentMitochondria,bio/MNXM90148
m00179s,dcs:CellularCompartmentExtracellular,bio/MNXM90148
m00180c,dcs:CellularCompartmentCytosol,bio/MNXM252
m00181m,dcs:CellularCompartmentMitochondria,bio/MNXM674
m00181p,dcs:CellularCompartmentPeroxisome,bio/MNXM674
m00182m,dcs:CellularCompartmentMitochondria,bio/MNXM757
m00182p,dcs:CellularCompartmentPeroxisome,bio/MNXM757
m00183m,dcs:CellularCompartmentMitochondria,bio/MNXM766
m00183p,dcs:CellularCompartmentPeroxisome,bio/MNXM766
m00184c,dcs:CellularCompartmentCytosol,bio/MNXM925
m00185c,dcs:CellularCompartmentCytosol,bio/MNXM7077
m00186c,dcs:CellularCompartmentCytosol,bio/MNXM8317
m00186l,dcs:CellularCompartmentLysosome,bio/MNXM8317
m00186s,dcs:CellularCompartmentExtracellular,bio/MNXM8317
m00187c,dcs:CellularCompartmentCytosol,bio/MNXM16265
m00188c,dcs:CellularCompartmentCytosol,bio/MNXM19304
m00189c,dcs:CellularCompartmentCytosol,bio/MNXM92066
m00190c,dcs:CellularCompartmentCytosol,bio/MNXM96087
